url,isBlog,isWordpress,isBlogSpot,isUrlIncludeDate,isUrlIncludeDomainPostTitle,isUrlIncludeYearMonthPostTitle,isUrlIncludeDomainPostTitleNumbers,urlLen,numOfKeywords,isPrefixBlog,isMetaTagIncludeBlogKeyword,isUrlSuffixHTML,domainLen,pathNumberCount,lenOfPath
https://www.bekaertdeslee.com/es/-/group-category-manager-capex-mro,0,0,0,0,0,0,0,67,7597,0,0,0,21,0,3
https://www.marmara.edu.tr/news/eczacilik-fakultesi-mikrobiyotada-guncel-gelismeler-sempozyumunu-gerceklestirdi,0,0,0,0,0,0,0,111,14992,0,0,0,18,0,2
https://www.ankara.edu.tr/dizin/merkezler/latin-amerika-calismalari-arastirma-ve-uygulama-merkezi,0,0,0,0,0,0,0,97,12770,0,0,0,17,0,3
https://getbootstrap.com/docs/5.2/components/tooltips/,0,0,0,0,0,0,0,54,18476,0,0,0,16,2,4
https://www.iu.edu/degrees/bloomington/ac-in-biostatistics/2093/index.html,0,0,0,1,0,1,0,74,5597,0,0,1,10,4,5
https://ngkutahyaseramik.com.tr/urun/pulpis-antrasit-rektifiye-parlak-nano-55013064rn,0,0,0,0,0,0,0,85,7310,0,0,0,23,8,2
https://www.bbc.co.uk/news/localnews/2657743-Acharra/0,0,0,0,0,0,0,0,54,257891,0,0,0,13,8,4
https://ngkutahyaseramik.com.tr/urun/duval-beyaz-rektifiye-55011075r,0,0,0,0,0,0,0,68,5822,0,0,0,23,8,2
https://www.rolex.com/watches/lady-datejust/m279384rbr-0018.html,0,0,0,0,0,0,0,64,58509,0,0,1,13,10,3
https://www.bekaertdeslee.com/fr/-/sales-manager-bdcn,0,0,0,0,0,0,0,53,8216,0,0,0,21,0,3
https://ngkutahyaseramik.com.tr/urun/dolmen-kum-rektifiye-55012973r,0,0,0,0,0,0,0,67,5822,0,0,0,23,8,2
https://www.marmara.edu.tr/news/53-lise-ogrencileri-arastirma-projeleri-istanbul-asya-bolge-yarismasi-sergisi-acildi,0,0,0,0,0,0,0,116,15625,0,0,0,18,2,2
https://www.iu.edu/degrees/bloomington/phd-in-art-history/726/index.html,0,0,0,0,0,0,0,72,5490,0,0,1,10,3,5
https://www.bbc.co.uk/news/localnews/2657845-Abercanaid/0,0,0,0,0,0,0,0,57,255873,0,0,0,13,8,4
https://ngkutahyaseramik.com.tr/urun/motta-dekor-rektifiye-55012369r,0,0,0,0,0,0,0,68,5822,0,0,0,23,8,2
https://www.bbc.co.uk/sport/football/europa-league,0,0,0,0,0,0,0,50,36790,0,0,0,13,0,3
https://www.ankara.edu.tr/kurumsal/mali-yonetim-ve-stratejik-plan-calismalari/2008-2012-stratejik-plan/,0,0,0,0,0,0,0,103,9979,0,0,0,17,8,3
https://www.bbc.co.uk/news/localnews/2657809-Abergwesyn/0,0,0,0,0,0,0,0,57,222480,0,0,0,13,8,4
https://ngkutahyaseramik.com.tr/urun/omega-kahve-rektifiye-55012536r,0,0,0,0,0,0,0,68,5822,0,0,0,23,8,2
https://www.iu.edu/campaigns/college-fair/index.html,0,0,0,0,0,0,0,52,6295,0,0,1,10,0,3
https://www.ankara.edu.tr/kategori/haberler/arastirma-ve-inovasyon/,0,0,0,0,0,0,0,67,11164,0,0,0,17,0,3
https://getbootstrap.com/docs/5.2/examples/sticky-footer-navbar/,0,0,0,0,0,0,0,64,632,0,0,0,16,2,4
https://ngkutahyaseramik.com.tr/urun/alkazar-karbon-lueks-dekor-rektifiye-55011403r,0,0,0,0,0,0,0,83,5822,0,0,0,23,8,2
https://www.bekaertdeslee.com/fr/-/technician-knitti-1,0,0,0,0,0,0,0,54,6911,0,0,0,21,1,3
https://getbootstrap.com/docs/5.2/components/navs-tabs/,0,0,0,0,0,0,0,55,39157,0,0,0,16,2,4
https://www.iu.edu/about/leadership/president/news-communications/written-by-whitten/2022/02-01-school-of-medicine-new-funding-milestone.html,0,0,0,1,0,1,0,141,5938,0,0,1,10,8,7
https://www.bekaertdeslee.com/zh/-/customer-service,0,0,0,0,0,0,0,51,7159,0,0,0,21,0,3
https://www.bekaertdeslee.com/en/contact,0,0,0,0,0,0,0,40,9889,0,0,0,21,0,2
https://www.bekaertdeslee.com/nl/-/group-category-manager-capex-mro,0,0,0,0,0,0,0,67,7597,0,0,0,21,0,3
https://www.bekaertdeslee.com/zh/-/spontaneous-job-application,0,0,0,0,0,0,0,62,6705,0,0,0,21,0,3
https://www.parasut.com/blog/nakit-akisimi-nasil-takip-ederim,0,0,0,0,0,0,0,61,16168,0,0,0,15,0,2
https://www.bekaertdeslee.com/fr/-/hr-manager,0,0,0,0,0,0,0,45,7179,0,0,0,21,0,3
https://www.marmara.edu.tr/universite/genel/rektorun-mesaji,0,0,0,0,0,0,0,59,11201,0,0,0,18,0,3
https://www.marmara.edu.tr/news/onemli-bir-egitim-daha-personel-ile-bulustu-kisisel-verileri-koruma-ve-gizlilik-egitimi,0,0,0,0,0,0,0,119,15770,0,0,0,18,0,2
https://www.rolex.com/watches/submariner/m126613lb-0002.html,0,0,0,0,0,0,0,60,61521,0,0,1,13,10,3
https://www.marmara.edu.tr/news/muhendislik-fakultesi-ogretim-uyesinin-istka-proje-basarisi,0,0,0,0,0,0,0,91,14405,0,0,0,18,0,2
https://www.rolex.com/watches/yacht-master/m268655-0019.html,0,0,0,0,0,0,0,60,59215,0,0,1,13,10,3
https://www.parasut.com/blog/elektronik-ticaret-sitelerinin-etbise-kayit-zorunlulugu,0,0,0,0,0,0,0,84,16761,0,0,0,15,0,2
https://ngkutahyaseramik.com.tr/urun/orfe-klasik-pano-rektifiye-55011779r,0,0,0,0,0,0,0,73,5822,0,0,0,23,8,2
https://retable.io/,0,0,0,0,0,0,0,19,974,0,0,0,10,0,1
https://akarelk.com/blog-ve-bolgeler,0,0,0,0,0,0,0,36,17420,0,0,0,11,0,1
https://www.ankara.edu.tr/dizin/koordinatorlukler/egitim-programlari-koordinatoerluegue,0,0,0,0,0,0,0,87,11394,0,0,0,17,0,3
https://www.marmara.edu.tr/news/kibris-istanbul-baskonsolosu-rektorumuzu-ziyaret-etti,0,0,0,0,0,0,0,85,14324,0,0,0,18,0,2
https://www.iu.edu/degrees/bloomington/ma-in-art-history/725/index.html,0,0,0,0,0,0,0,71,5562,0,0,1,10,3,5
https://www.bekaertdeslee.com/es/products/covers,0,0,0,0,0,0,0,48,8202,0,0,0,21,0,3
https://www.iu.edu/degrees/bloomington/ms-in-applied-statistics/202/index.html,0,0,0,0,0,0,0,78,5562,0,0,1,10,3,5
https://www.bekaertdeslee.com/zh/sustainability/climate-action,0,0,0,0,0,0,0,62,7903,0,0,0,21,0,3
https://www.parasut.com/blog/e-arsiv-faturasi-nedir-nasil-kullanilir,0,0,0,0,0,0,0,68,20164,0,0,0,15,0,2
https://ngkutahyaseramik.com.tr/urun/leo-rektifiye-55012212r,0,0,0,0,0,0,0,60,5822,0,0,0,23,8,2
https://www.ankara.edu.tr/dizin/merkezler/ceza-infaz-hukuku-ve-kriminoloji-uygulama-ve-arastirma-merkezi,0,0,0,0,0,0,0,104,12196,0,0,0,17,0,3
https://ngkutahyaseramik.com.tr/urun/duval-beyaz-55011632,0,0,0,0,0,0,0,57,5822,0,0,0,23,8,2
https://ngkutahyaseramik.com.tr/urun/belize-acik-gri-55009828,0,0,0,0,0,0,0,61,7278,0,0,0,23,8,2
https://www.parasut.com/blog/kobiler-icin-ucretsiz-e-fatura,0,0,0,0,0,0,0,59,16663,0,0,0,15,0,2
https://www.bekaertdeslee.com/es/sustainability/circular-economy,0,0,0,0,0,0,0,64,7976,0,0,0,21,0,3
https://www.parasut.com/blog/e-fatura-ve-e-arsiv-zorunlulugu,0,0,0,0,0,0,0,60,19492,0,0,0,15,0,2
https://www.rolex.com/watches/datejust/all-models.html,0,0,0,0,0,0,0,54,319223,0,0,1,13,0,3
https://www.iu.edu/degrees/bloomington/dba-in-accounting/403/index.html,0,0,0,0,0,0,0,71,5556,0,0,1,10,3,5
https://www.marmara.edu.tr/news/marmara-avrupa-haftasi-etkinlikleri-basladi,0,0,0,0,0,0,0,75,15289,0,0,0,18,0,2
https://www.marmara.edu.tr/news/yuksekogretimde-ayakkabi-muhendisligi-ve-mesleki-egitim-vizyon-toplantisi-duzenlendi,0,0,0,0,0,0,0,116,14556,0,0,0,18,0,2
https://ngkutahyaseramik.com.tr/urun/pier-kahve-55012120,0,0,0,0,0,0,0,56,5822,0,0,0,23,8,2
https://www.bekaertdeslee.com/de/-/technician-knitting,0,0,0,0,0,0,0,54,6884,0,0,0,21,0,3
https://getbootstrap.com/docs/5.2/examples/cover/,0,0,0,0,0,0,0,49,536,0,0,0,16,2,4
https://getbootstrap.com/docs/5.2/forms/input-group/,0,0,0,0,0,0,0,52,25895,0,0,0,16,2,4
https://www.ankara.edu.tr/dizin/merkezler/sueperiletken-teknolojileri-uygulama-ve-arastirma-merkezi,0,0,0,0,0,0,0,99,12159,0,0,0,17,0,3
https://www.parasut.com/blog/vergi-yapilandirmasi-hangi-alanlari-kapsiyor,0,0,0,0,0,0,0,73,16751,0,0,0,15,0,2
https://www.iu.edu/degrees/bloomington/bsb-in-accounting/401/index.html,0,0,0,0,0,0,0,71,5868,0,0,1,10,3,5
https://www.iu.edu/covid/prevention/mask-distribution-locations.html,0,0,0,0,0,0,0,68,7054,0,0,1,10,0,3
https://www.iu.edu/degrees/bloomington/ba-in-african-american-african-diaspora-studies-history/706/index.html,0,0,0,0,0,0,0,109,6271,0,0,1,10,3,5
https://ngkutahyaseramik.com.tr/urun/oris-kahve-bone-dekor-rektifiye-55012160r,0,0,0,0,0,0,0,78,5822,0,0,0,23,8,2
https://www.rolex.com/watches/sky-dweller/m326238-0009.html,0,0,0,0,0,0,0,59,62466,0,0,1,13,10,3
https://www.domain.com/affiliate/gettingstarted,0,0,0,0,0,0,0,47,6948,0,0,0,14,0,2
https://www.bekaertdeslee.com/fr/about/values,0,0,0,0,0,0,0,45,8810,0,0,0,21,0,3
https://www.bekaertdeslee.com/es/jobs,0,0,0,0,0,0,0,37,18294,0,0,0,21,0,2
https://www.parasut.com/blog/yeni-nesil-calisanlari-sirketinizde-tutmanin-yollari,0,0,0,0,0,0,0,81,16715,0,0,0,15,0,2
https://www.rolex.com/watches/explorer/configure.html,0,0,0,0,0,0,0,53,33155,0,0,1,13,0,3
https://www.bekaertdeslee.com/zh/sustainability/sustainable-products,0,0,0,0,0,0,0,68,10220,0,0,0,21,0,3
https://www.bekaertdeslee.com/nl/-/designer,0,0,0,0,0,0,0,43,7018,0,0,0,21,0,3
https://ngkutahyaseramik.com.tr/urun/barok-cotto-55010923,0,0,0,0,0,0,0,57,7235,0,0,0,23,8,2
https://www.ankara.edu.tr/dizin/idari/doener-sermaye-isletme-mueduerluegue,0,0,0,0,0,0,0,74,11298,0,0,0,17,0,3
https://www.iu.edu/covid/campus-info/public-safety.html,0,0,0,0,0,0,0,55,6768,0,0,1,10,0,3
https://getbootstrap.com/docs/5.2/examples/modals/,0,0,0,0,0,0,0,50,2845,0,0,0,16,2,4
https://www.parasut.com/blog/parasut-muhasebe-programi-olarak-kullanilabilir-mi,0,0,0,0,0,0,0,79,16134,0,0,0,15,0,2
https://www.iu.edu/degrees/bloomington/bs-in-astronomy-astrophysics/20/index.html,0,0,0,0,0,0,0,81,5840,0,0,1,10,2,5
https://www.marmara.edu.tr/kampuste-yasam/organizasyonlar,0,0,0,0,0,0,0,57,11112,0,0,0,18,0,2
https://www.ankara.edu.tr/kurumsal/mevzuat/ilkeler/cinsel-tacize-ve-cinsel-saldiriya-karsi-politika-belgesi/,0,0,0,0,0,0,0,108,12044,0,0,0,17,0,4
https://www.parasut.com/blog/e-irsaliye-hakkinda-sikca-sorulan-sorular,0,0,0,0,0,0,0,70,19557,0,0,0,15,0,2
https://www.rolex.com/about-rolex-watches/watchmakers.html,0,0,0,0,0,0,0,58,53088,0,0,1,13,0,2
https://www.iu.edu/degrees/bloomington/phd-in-anthropology/12/index.html,0,0,0,0,0,0,0,72,5479,0,0,1,10,2,5
