url,isBlog,isWordpress,isBlogSpot,isUrlIncludeDate,isUrlIncludeDomainPostTitle,isUrlIncludeYearMonthPostTitle,urlLen,numOfKeywords,isIncludeBlog,isMetaTagIncludeBlogKeyword,isUrlSuffixHTML,domainLen,pathNumberCount,lenOfPath
https://crooksandliars.com/2014/09/billionaires-have-more-cash-they-know-what,1,0,0,1,0,1,77,7042,0,0,0,18,6,3
https://www.airlinereporter.com/2011/04/exclusive-a-chat-with-all-nippon-airways-us-engineering-general-manager-on-the-boeing-787-dreamliner/,1,0,0,1,0,0,141,13807,0,0,0,23,9,3
https://crooksandliars.com/2014/09/pat-robertson-lashes-out-after-air-force,1,0,0,1,0,1,75,7332,0,0,0,18,6,3
https://www.smashingmagazine.com/2021/06/automating-screen-reader-testing-macos-autovo/,1,0,0,1,0,0,87,15955,0,0,0,24,6,3
https://deadspin.com/c/deadspin-up-all-night,1,0,0,0,0,0,44,67228,0,0,0,12,0,2
http://www.mrmoneymustache.com/2011/04/06/meet-mr-money-mustache/?replytocom=595124,1,0,0,1,0,0,83,28268,0,1,0,23,8,4
https://www.gawker.com/celebrity/prince-george-is-a-tidy-boy,1,0,0,0,0,0,60,4156,0,0,0,14,0,2
https://www.gawker.com/culture/filippo-bernardini-photo-book-thief-spine-collector-publishing-industry-manuscript-phishing-impersonation-arrested-fbi,1,0,0,0,0,0,149,4558,0,0,0,14,0,2
https://kotaku.com/elden-ring-no-death-two-hour-speedrun-fromsoftware-ps5-1848628030,1,0,0,0,0,0,84,36841,0,0,0,10,11,1
https://lifehacker.com/netflix-has-secret-codes-1848812894,1,0,0,0,1,0,58,35780,0,0,0,14,10,1
https://lifehacker.com/the-out-of-touch-adults-guide-to-kid-culture-what-is-t-1848767322,1,0,0,0,1,0,88,38911,0,0,0,14,10,1
https://motleyvision.org/2013/11/07/iplates-kick/,1,0,0,1,0,0,49,16903,0,0,0,16,8,4
https://climateaudit.org/2007/05/08/swindle-and-the-stick/,1,0,0,1,0,0,58,23980,0,0,0,16,8,4
https://climateaudit.org/2017/11/25/us-east-coast-sea-level-rise-an-adjustocene-hockey-stick/,1,0,0,1,0,0,93,42256,0,0,0,16,8,4
https://lifehacker.com/15-true-crime-podcasts-that-arent-too-murder-y-1848785894,1,0,0,0,0,0,80,50443,0,0,0,14,12,1
https://www.gawker.com/celebrity/rob-kardashian-birthday-tributes-family,1,0,0,0,0,0,72,4448,0,0,0,14,0,2
https://www.engadget.com/2008-11-18-zvox-425-and-550-soundbars-review.html,1,0,0,0,0,0,74,25819,0,0,1,16,14,1
https://www.slashfilm.com/496201/six-new-high-resolution-ratatouille-character-photos/,1,0,0,0,0,0,86,6647,0,0,0,17,6,2
https://www.sbnation.com/2006/09/jeff-burton-has-lot-to-prove-so-he.html,1,0,0,1,0,1,72,23469,0,0,1,16,6,3
https://techcrunch.com/2006/11/02/november-next-gen-gaming-month/,1,0,0,1,0,0,65,39391,0,0,0,14,8,4
https://www.gawker.com/celebrity/inside-justin-longs-blue-crush,1,0,0,0,0,0,63,4465,0,0,0,14,0,2
https://kotaku.com/pokemon-legends-arceus-nintendo-switch-mods-graphics-ga-1848526610,1,0,0,0,0,0,85,35643,0,0,0,10,10,1
https://lifehacker.com/these-tricks-will-help-you-relieve-yourself-of-your-bat-1848892835,1,0,0,0,1,0,89,36972,0,0,0,14,10,1
https://www.sbnation.com/2008/1/13/1639326/liveblog-chargers-colts-fourth,1,0,0,1,0,0,73,25053,0,1,0,16,14,5
http://dailyhowler.blogspot.com/2020/08/the-modern-american-novel-franklin.html,1,0,1,1,0,1,79,23084,1,0,1,24,6,3
https://deadspin.com/unlikely-heroes-lead-way-to-start-nba-playoffs-1848803900,1,0,0,0,1,0,78,36683,0,0,0,12,10,1
https://www.sbnation.com/2008/1/31/1639487/firstcuts-do-not-look-directly-at,1,0,0,1,0,0,76,22928,0,1,0,16,14,5
https://www.sbnation.com/2008/1/24/1639433/firstcuts-actors-are-not,1,0,0,1,0,0,67,22941,0,1,0,16,14,5
https://thetehrantimes.tumblr.com/post/145852625714/a-combination-of-70s-modern-interior-design,1,0,0,0,0,0,95,6700,0,0,0,25,14,3
https://www.slashfilm.com/496350/bruce-willis-is-ready-for-die-hard-5-fox-shows-interest/,1,0,0,0,0,0,89,5995,0,0,0,17,7,2
https://techcrunch.com/2006/11/28/playstation-3-firmware-111/,1,0,0,1,0,0,61,38422,0,0,0,14,12,4
https://gothamist.com/arts-entertainment/early-addition-course-diner-parking-lot-involved-new-jersey-politics-murder-hire-saga,1,0,0,0,0,0,126,27458,0,0,0,13,0,2
https://www.huffpost.com/entry/a-vast-number-of-jobs-to_b_6419550,1,0,0,0,0,0,65,59868,0,0,0,16,7,2
https://jezebel.com/i-m-all-out-of-tissues-because-this-year-cold-case-was-1848229691,1,0,0,0,0,0,85,32284,0,0,0,11,10,1
https://www.airlinereporter.com/2010/06/lesson-learned-about-blog-software-upgrade/,1,0,0,1,0,0,83,12504,0,1,0,23,6,3
https://gothamist.com/arts-entertainment/photos-governors-island-winter-ice-sculptures,1,0,0,0,0,0,86,30985,0,0,0,13,0,2
https://kotaku.com/culture/shop-contest,1,0,0,0,0,0,39,65416,0,0,0,10,0,2
http://www.borderlandbeat.com/2022/03/bags-with-human-remains-continue-to.html,1,0,0,1,0,1,78,17345,0,0,1,22,6,3
https://thebirddogblog.com/2015/08/28/were-in-a-conference-now-and-oh-no-everythings-different/,1,0,0,1,0,0,95,16301,1,0,0,18,8,4
https://techcrunch.com/2007/12/27/incesoft-and-minfo-partnership-in-china/,1,0,0,1,0,0,74,39019,0,0,0,14,8,4
https://www.gawker.com/culture/club-penguin-history-fan-made-private-servers-rewritten-online-game,1,0,0,0,0,0,98,7716,0,0,0,14,0,2
